Match_Id,Match_Date,Team_Name_Id,Opponent_Team_Id,Season_Id,Venue_Name,Toss_Winner_Id,Toss_Decision,IS_Superover,IS_Result,Is_DuckWorthLewis,Win_Type,Won_By,Match_Winner_Id,Man_Of_The_Match_Id,City_Name,Host_Country
829752,10-08-2009,6,7,8,Feroz Shah Kotla,7,field,0,1,0,by runs,37,6,393,Delhi,India
829754,11-08-2009,5,2,8,"Sardar Patel Stadium, Motera",2,field,0,1,0,by wickets,9,2,378,Ahmedabad,India
829756,12-08-2009,7,11,8,Wankhede Stadium,7,bat,0,1,0,by runs,20,7,194,Mumbai,India
829758,13-08-2009,3,4,8,"MA Chidambaram Stadium, Chepauk",3,bat,0,1,0,by runs,97,3,2,Chennai,India
829762,14-08-2009,6,2,8,Feroz Shah Kotla,2,field,0,1,0,by wickets,10,2,296,Delhi,India
829764,15-08-2009,4,11,8,"Punjab Cricket Association Stadium, Mohali",4,field,0,1,0,by runs,20,11,458,Chandigarh,India
829766,16-08-2009,1,6,8,Eden Gardens,1,bat,0,1,0,by runs,13,1,67,Kolkata,India
829768,17-08-2009,2,5,8,M Chinnaswamy Stadium,5,field,0,0,0,No Result,NULL,NULL,,Bangalore,India
829770,18-08-2009,3,1,8,"MA Chidambaram Stadium, Chepauk",1,field,0,1,0,by runs,2,3,71,Chennai,India
829772,19-08-2009,6,4,8,Feroz Shah Kotla,6,field,0,1,0,by wickets,9,6,371,Delhi,India
829774,20-08-2009,7,5,8,Wankhede Stadium,5,field,0,1,0,by runs,8,7,208,Mumbai,India
829776,21-08-2009,2,1,8,M Chinnaswamy Stadium,2,field,0,1,0,by wickets,7,2,236,Bangalore,India
